mv_node,lv_x_node_1,lv_x_node_2,sx_node_1,sx_node_2
L3122813.1,X3122813A.1,X3122813A.2,SX3122813A.1,SX3122813A.2
L2935567.2,X2935567B.1,X2935567B.2,SX2935567B.1,SX2935567B.2
L2917336.3,X2917336C.1,X2917336C.2,SX2917336C.1,SX2917336C.2
L2954350.3,X2954350C.1,X2954350C.2,SX2954350C.1,SX2954350C.2
L3234185.2,X3234185B.1,X3234185B.2,SX3234185B.1,SX3234185B.2
L3160107.1,X3160107A.1,X3160107A.2,SX3160107A.1,SX3160107A.2
L3141401.1,X3141401A.1,X3141401A.2,SX3141401A.1,SX3141401A.2
L2972704.3,X2972704C.1,X2972704C.2,SX2972704C.1,SX2972704C.2
L3197644.1,X3197644A.1,X3197644A.2,SX3197644A.1,SX3197644A.2
L2897805.1,X2897805A.1,X2897805A.2,SX2897805A.1,SX2897805A.2
L2766499.3,X2766499C.1,X2766499C.2,SX2766499C.1,SX2766499C.2
L3104132.1,X3104132A.1,X3104132A.2,SX3104132A.1,SX3104132A.2
L2989564.2,X2989564B.1,X2989564B.2,SX2989564B.1,SX2989564B.2
L2991923.1,X2991923A.1,X2991923A.2,SX2991923A.1,SX2991923A.2
L3217053.3,X3217053C.1,X3217053C.2,SX3217053C.1,SX3217053C.2
L3216345.2,X3216345B.1,X3216345B.2,SX3216345B.1,SX3216345B.2
L2766721.1,X2766721A.1,X2766721A.2,SX2766721A.1,SX2766721A.2
L3119793.2,X3119793B.1,X3119793B.2,SX3119793B.1,SX3119793B.2
L2821010.1,X2821010A.1,X2821010A.2,SX2821010A.1,SX2821010A.2
L3104118.3,X3104118C.1,X3104118C.2,SX3104118C.1,SX3104118C.2
L3160101.1,X3160101A.1,X3160101A.2,SX3160101A.1,SX3160101A.2
L2692633.3,X2692633C.1,X2692633C.2,SX2692633C.1,SX2692633C.2
L2691950.3,X2691950C.1,X2691950C.2,SX2691950C.1,SX2691950C.2
L3160108.2,X3160108B.1,X3160108B.2,SX3160108B.1,SX3160108B.2
L2822873.2,X2822873B.1,X2822873B.2,SX2822873B.1,SX2822873B.2
L3048887.2,X3048887B.1,X3048887B.2,SX3048887B.1,SX3048887B.2
L3254227.2,X3254227B.1,X3254227B.2,SX3254227B.1,SX3254227B.2
L2992624.1,X2992624A.1,X2992624A.2,SX2992624A.1,SX2992624A.2
L3226771.1,X3226771A.1,X3226771A.2,SX3226771A.1,SX3226771A.2
L3086002.3,X3086002C.1,X3086002C.2,SX3086002C.1,SX3086002C.2
L3045895.3,X3045895C.1,X3045895C.2,SX3045895C.1,SX3045895C.2
L2973160.2,X2973160B.1,X2973160B.2,SX2973160B.1,SX2973160B.2
L2764403.1,X2764403A.1,X2764403A.2,SX2764403A.1,SX2764403A.2
L3122812.2,X3122812B.1,X3122812B.2,SX3122812B.1,SX3122812B.2
L3176660.2,X3176660B.1,X3176660B.2,SX3176660B.1,SX3176660B.2
L2991943.3,X2991943C.1,X2991943C.2,SX2991943C.1,SX2991943C.2
L2691941.3,X2691941C.1,X2691941C.2,SX2691941C.1,SX2691941C.2
L2983432.1,X2983432A.1,X2983432A.2,SX2983432A.1,SX2983432A.2
L3215549.2,X3215549B.1,X3215549B.2,SX3215549B.1,SX3215549B.2
L2955077.3,X2955077C.1,X2955077C.2,SX2955077C.1,SX2955077C.2
L2973157.1,X2973157A.1,X2973157A.2,SX2973157A.1,SX2973157A.2
L2691951.3,X2691951C.1,X2691951C.2,SX2691951C.1,SX2691951C.2
L3030199.3,X3030199C.1,X3030199C.2,SX3030199C.1,SX3030199C.2
L2692655.3,X2692655C.1,X2692655C.2,SX2692655C.1,SX2692655C.2
L2785546.1,X2785546A.1,X2785546A.2,SX2785546A.1,SX2785546A.2
L2935559.1,X2935559A.1,X2935559A.2,SX2935559A.1,SX2935559A.2
L2972930.1,X2972930A.1,X2972930A.2,SX2972930A.1,SX2972930A.2
L2822866.2,X2822866B.1,X2822866B.2,SX2822866B.1,SX2822866B.2
L2748781.1,X2748781A.1,X2748781A.2,SX2748781A.1,SX2748781A.2
L3645810.3,X3645810C.1,X3645810C.2,SX3645810C.1,SX3645810C.2
L2879076.3,X2879076C.1,X2879076C.2,SX2879076C.1,SX2879076C.2
L2841616.1,X2841616A.1,X2841616A.2,SX2841616A.1,SX2841616A.2
L2935554.1,X2935554A.1,X2935554A.2,SX2935554A.1,SX2935554A.2
L2879075.1,X2879075A.1,X2879075A.2,SX2879075A.1,SX2879075A.2
L2839305.1,X2839305A.1,X2839305A.2,SX2839305A.1,SX2839305A.2
L2879753.2,X2879753B.1,X2879753B.2,SX2879753B.1,SX2879753B.2
L2748129.1,X2748129A.1,X2748129A.2,SX2748129A.1,SX2748129A.2
L2991906.1,X2991906A.1,X2991906A.2,SX2991906A.1,SX2991906A.2
L2804247.2,X2804247B.1,X2804247B.2,SX2804247B.1,SX2804247B.2
L3195318.2,X3195318B.1,X3195318B.2,SX3195318B.1,SX3195318B.2
L3048888.3,X3048888C.1,X3048888C.2,SX3048888C.1,SX3048888C.2
L2935552.3,X2935552C.1,X2935552C.2,SX2935552C.1,SX2935552C.2
L2876797.1,X2876797A.1,X2876797A.2,SX2876797A.1,SX2876797A.2
L3085389.2,X3085389B.1,X3085389B.2,SX3085389B.1,SX3085389B.2
L2916603.2,X2916603B.1,X2916603B.2,SX2916603B.1,SX2916603B.2
L2710518.1,X2710518A.1,X2710518A.2,SX2710518A.1,SX2710518A.2
L3160896.3,X3160896C.1,X3160896C.2,SX3160896C.1,SX3160896C.2
L2897776.3,X2897776C.1,X2897776C.2,SX2897776C.1,SX2897776C.2
L2913406.2,X2913406B.1,X2913406B.2,SX2913406B.1,SX2913406B.2
L2991915.2,X2991915B.1,X2991915B.2,SX2991915B.1,SX2991915B.2
L2711224.2,X2711224B.1,X2711224B.2,SX2711224B.1,SX2711224B.2
L2897766.3,X2897766C.1,X2897766C.2,SX2897766C.1,SX2897766C.2
L2897775.3,X2897775C.1,X2897775C.2,SX2897775C.1,SX2897775C.2
L3029495.2,X3029495B.1,X3029495B.2,SX3029495B.1,SX3029495B.2
L2911069.2,X2911069B.1,X2911069B.2,SX2911069B.1,SX2911069B.2
L3197633.1,X3197633A.1,X3197633A.2,SX3197633A.1,SX3197633A.2
L3066817.1,X3066817A.1,X3066817A.2,SX3066817A.1,SX3066817A.2
L2879089.3,X2879089C.1,X2879089C.2,SX2879089C.1,SX2879089C.2
L3195315.1,X3195315A.1,X3195315A.2,SX3195315A.1,SX3195315A.2
L2785529.3,X2785529C.1,X2785529C.2,SX2785529C.1,SX2785529C.2
L2992656.1,X2992656A.1,X2992656A.2,SX2992656A.1,SX2992656A.2
L2692661.1,X2692661A.1,X2692661A.2,SX2692661A.1,SX2692661A.2
L3160114.1,X3160114A.1,X3160114A.2,SX3160114A.1,SX3160114A.2
L3082992.1,X3082992A.1,X3082992A.2,SX3082992A.1,SX3082992A.2
L2710537.2,X2710537B.1,X2710537B.2,SX2710537B.1,SX2710537B.2
L3254238.2,X3254238B.1,X3254238B.2,SX3254238B.1,SX3254238B.2
L2862616.3,X2862616C.1,X2862616C.2,SX2862616C.1,SX2862616C.2
L2785526.2,X2785526B.1,X2785526B.2,SX2785526B.1,SX2785526B.2
L2915542.1,X2915542A.1,X2915542A.2,SX2915542A.1,SX2915542A.2
L2915542.2,X2915542B.1,X2915542B.2,SX2915542B.1,SX2915542B.2
L2915542.3,X2915542C.1,X2915542C.2,SX2915542C.1,SX2915542C.2
L3122820.1,X3122820A.1,X3122820A.2,SX3122820A.1,SX3122820A.2
L3029505.3,X3029505C.1,X3029505C.2,SX3029505C.1,SX3029505C.2
L2785522.2,X2785522B.1,X2785522B.2,SX2785522B.1,SX2785522B.2
L2710543.3,X2710543C.1,X2710543C.2,SX2710543C.1,SX2710543C.2
L2917310.2,X2917310B.1,X2917310B.2,SX2917310B.1,SX2917310B.2
L3082993.1,X3082993A.1,X3082993A.2,SX3082993A.1,SX3082993A.2
L3729298.1,X3729298A.1,X3729298A.2,SX3729298A.1,SX3729298A.2
L2990826.1,X2990826A.1,X2990826A.2,SX2990826A.1,SX2990826A.2
L2990826.2,X2990826B.1,X2990826B.2,SX2990826B.1,SX2990826B.2
L2990826.3,X2990826C.1,X2990826C.2,SX2990826C.1,SX2990826C.2
L2897792.1,X2897792A.1,X2897792A.2,SX2897792A.1,SX2897792A.2
L2804261.3,X2804261C.1,X2804261C.2,SX2804261C.1,SX2804261C.2
L3189190.1,X3189190A.1,X3189190A.2,SX3189190A.1,SX3189190A.2
L2689691.1,X2689691A.1,X2689691A.2,SX2689691A.1,SX2689691A.2
L3195751.1,X3195751A.1,X3195751A.2,SX3195751A.1,SX3195751A.2
L2785517.3,X2785517C.1,X2785517C.2,SX2785517C.1,SX2785517C.2
L2916606.3,X2916606C.1,X2916606C.2,SX2916606C.1,SX2916606C.2
L3254217.3,X3254217C.1,X3254217C.2,SX3254217C.1,SX3254217C.2
L2841641.2,X2841641B.1,X2841641B.2,SX2841641B.1,SX2841641B.2
L2804256.2,X2804256B.1,X2804256B.2,SX2804256B.1,SX2804256B.2
L3122818.3,X3122818C.1,X3122818C.2,SX3122818C.1,SX3122818C.2
L2691953.1,X2691953A.1,X2691953A.2,SX2691953A.1,SX2691953A.2
L2692654.1,X2692654A.1,X2692654A.2,SX2692654A.1,SX2692654A.2
L3235246.2,X3235246B.1,X3235246B.2,SX3235246B.1,SX3235246B.2
L2955078.1,X2955078A.1,X2955078A.2,SX2955078A.1,SX2955078A.2
L3139598.2,X3139598B.1,X3139598B.2,SX3139598B.1,SX3139598B.2
L2763812.3,X2763812C.1,X2763812C.2,SX2763812C.1,SX2763812C.2
L2767414.3,X2767414C.1,X2767414C.2,SX2767414C.1,SX2767414C.2
L2991918.2,X2991918B.1,X2991918B.2,SX2991918B.1,SX2991918B.2
L3008248.1,X3008248A.1,X3008248A.2,SX3008248A.1,SX3008248A.2
L3160865.1,X3160865A.1,X3160865A.2,SX3160865A.1,SX3160865A.2
L3029510.2,X3029510B.1,X3029510B.2,SX3029510B.1,SX3029510B.2
L2748126.3,X2748126C.1,X2748126C.2,SX2748126C.1,SX2748126C.2
L3216358.1,X3216358A.1,X3216358A.2,SX3216358A.1,SX3216358A.2
L2936276.2,X2936276B.1,X2936276B.2,SX2936276B.1,SX2936276B.2
L2729207.3,X2729207C.1,X2729207C.2,SX2729207C.1,SX2729207C.2
L2897768.3,X2897768C.1,X2897768C.2,SX2897768C.1,SX2897768C.2
L2917255.3,X2917255C.1,X2917255C.2,SX2917255C.1,SX2917255C.2
L2933120.3,X2933120C.1,X2933120C.2,SX2933120C.1,SX2933120C.2
L2684420.2,X2684420B.1,X2684420B.2,SX2684420B.1,SX2684420B.2
L2766723.1,X2766723A.1,X2766723A.2,SX2766723A.1,SX2766723A.2
L3104120.2,X3104120B.1,X3104120B.2,SX3104120B.1,SX3104120B.2
L3066813.2,X3066813B.1,X3066813B.2,SX3066813B.1,SX3066813B.2
L2822860.2,X2822860B.1,X2822860B.2,SX2822860B.1,SX2822860B.2
L2933135.1,X2933135A.1,X2933135A.2,SX2933135A.1,SX2933135A.2
L3649298.1,X3649298A.1,X3649298A.2,SX3649298A.1,SX3649298A.2
L3104130.2,X3104130B.1,X3104130B.2,SX3104130B.1,SX3104130B.2
L2785538.1,X2785538A.1,X2785538A.2,SX2785538A.1,SX2785538A.2
L3122849.2,X3122849B.1,X3122849B.2,SX3122849B.1,SX3122849B.2
L2879794.1,X2879794A.1,X2879794A.2,SX2879794A.1,SX2879794A.2
L2879069.1,X2879069A.1,X2879069A.2,SX2879069A.1,SX2879069A.2
L3104113.1,X3104113A.1,X3104113A.2,SX3104113A.1,SX3104113A.2
L2861222.1,X2861222A.1,X2861222A.2,SX2861222A.1,SX2861222A.2
L3141411.3,X3141411C.1,X3141411C.2,SX3141411C.1,SX3141411C.2
L3178982.1,X3178982A.1,X3178982A.2,SX3178982A.1,SX3178982A.2
L3029498.3,X3029498C.1,X3029498C.2,SX3029498C.1,SX3029498C.2
L2952013.1,X2952013A.1,X2952013A.2,SX2952013A.1,SX2952013A.2
L2860488.2,X2860488B.1,X2860488B.2,SX2860488B.1,SX2860488B.2
L2691945.3,X2691945C.1,X2691945C.2,SX2691945C.1,SX2691945C.2
L3214549.1,X3214549A.1,X3214549A.2,SX3214549A.1,SX3214549A.2
L2710536.1,X2710536A.1,X2710536A.2,SX2710536A.1,SX2710536A.2
L2804956.1,X2804956A.1,X2804956A.2,SX2804956A.1,SX2804956A.2
L3160105.3,X3160105C.1,X3160105C.2,SX3160105C.1,SX3160105C.2
L3010563.1,X3010563A.1,X3010563A.2,SX3010563A.1,SX3010563A.2
L3649297.1,X3649297A.1,X3649297A.2,SX3649297A.1,SX3649297A.2
L2823611.1,X2823611A.1,X2823611A.2,SX2823611A.1,SX2823611A.2
L2860487.3,X2860487C.1,X2860487C.2,SX2860487C.1,SX2860487C.2
L3197629.2,X3197629B.1,X3197629B.2,SX3197629B.1,SX3197629B.2
L2691943.2,X2691943B.1,X2691943B.2,SX2691943B.1,SX2691943B.2
L2673311.1,X2673311A.1,X2673311A.2,SX2673311A.1,SX2673311A.2
L2767343.3,X2767343C.1,X2767343C.2,SX2767343C.1,SX2767343C.2
L2879063.2,X2879063B.1,X2879063B.2,SX2879063B.1,SX2879063B.2
L3254219.3,X3254219C.1,X3254219C.2,SX3254219C.1,SX3254219C.2
L3197653.2,X3197653B.1,X3197653B.2,SX3197653B.1,SX3197653B.2
L3251806.2,X3251806B.1,X3251806B.2,SX3251806B.1,SX3251806B.2
L2673308.2,X2673308B.1,X2673308B.2,SX2673308B.1,SX2673308B.2
L3254203.2,X3254203B.1,X3254203B.2,SX3254203B.1,SX3254203B.2
L2814529.1,X2814529A.1,X2814529A.2,SX2814529A.1,SX2814529A.2
L2814529.2,X2814529B.1,X2814529B.2,SX2814529B.1,SX2814529B.2
L2814529.3,X2814529C.1,X2814529C.2,SX2814529C.1,SX2814529C.2
L2823592.1,X2823592A.1,X2823592A.2,SX2823592A.1,SX2823592A.2
L2766718.3,X2766718C.1,X2766718C.2,SX2766718C.1,SX2766718C.2
L2727795.3,X2727795C.1,X2727795C.2,SX2727795C.1,SX2727795C.2
L2955055.2,X2955055B.1,X2955055B.2,SX2955055B.1,SX2955055B.2
L2766722.2,X2766722B.1,X2766722B.2,SX2766722B.1,SX2766722B.2
L2804957.3,X2804957C.1,X2804957C.2,SX2804957C.1,SX2804957C.2
L3010570.1,X3010570A.1,X3010570A.2,SX3010570A.1,SX3010570A.2
L3649299.1,X3649299A.1,X3649299A.2,SX3649299A.1,SX3649299A.2
L2766717.3,X2766717C.1,X2766717C.2,SX2766717C.1,SX2766717C.2
L3254870.3,X3254870C.1,X3254870C.2,SX3254870C.1,SX3254870C.2
L2801895.2,X2801895B.1,X2801895B.2,SX2801895B.1,SX2801895B.2
L2673320.2,X2673320B.1,X2673320B.2,SX2673320B.1,SX2673320B.2
L3198358.2,X3198358B.1,X3198358B.2,SX3198358B.1,SX3198358B.2
L3064514.3,X3064514C.1,X3064514C.2,SX3064514C.1,SX3064514C.2
L2729429.1,X2729429A.1,X2729429A.2,SX2729429A.1,SX2729429A.2
L2785525.3,X2785525C.1,X2785525C.2,SX2785525C.1,SX2785525C.2
L2860492.3,X2860492C.1,X2860492C.2,SX2860492C.1,SX2860492C.2
L2973154.1,X2973154A.1,X2973154A.2,SX2973154A.1,SX2973154A.2
L2691973.1,X2691973A.1,X2691973A.2,SX2691973A.1,SX2691973A.2
L3085394.3,X3085394C.1,X3085394C.2,SX3085394C.1,SX3085394C.2
L2897791.2,X2897791B.1,X2897791B.2,SX2897791B.1,SX2897791B.2
L2726983.1,X2726983A.1,X2726983A.2,SX2726983A.1,SX2726983A.2
L2711234.2,X2711234B.1,X2711234B.2,SX2711234B.1,SX2711234B.2
L3178980.3,X3178980C.1,X3178980C.2,SX3178980C.1,SX3178980C.2
L3728039.1,X3728039A.1,X3728039A.2,SX3728039A.1,SX3728039A.2
L2786266.1,X2786266A.1,X2786266A.2,SX2786266A.1,SX2786266A.2
L2954338.2,X2954338B.1,X2954338B.2,SX2954338B.1,SX2954338B.2
L3254869.2,X3254869B.1,X3254869B.2,SX3254869B.1,SX3254869B.2
L3198356.3,X3198356C.1,X3198356C.2,SX3198356C.1,SX3198356C.2
L2730163.3,X2730163C.1,X2730163C.2,SX2730163C.1,SX2730163C.2
L3048965.2,X3048965B.1,X3048965B.2,SX3048965B.1,SX3048965B.2
L3010561.1,X3010561A.1,X3010561A.2,SX3010561A.1,SX3010561A.2
L3160102.2,X3160102B.1,X3160102B.2,SX3160102B.1,SX3160102B.2
L3066806.3,X3066806C.1,X3066806C.2,SX3066806C.1,SX3066806C.2
L3216361.2,X3216361B.1,X3216361B.2,SX3216361B.1,SX3216361B.2
L2879092.3,X2879092C.1,X2879092C.2,SX2879092C.1,SX2879092C.2
L3104117.3,X3104117C.1,X3104117C.2,SX3104117C.1,SX3104117C.2
L2935568.2,X2935568B.1,X2935568B.2,SX2935568B.1,SX2935568B.2
L2710530.2,X2710530B.1,X2710530B.2,SX2710530B.1,SX2710530B.2
L2841618.1,X2841618A.1,X2841618A.2,SX2841618A.1,SX2841618A.2
L3728043.1,X3728043A.1,X3728043A.2,SX3728043A.1,SX3728043A.2
L2897765.2,X2897765B.1,X2897765B.2,SX2897765B.1,SX2897765B.2
L2804283.1,X2804283A.1,X2804283A.2,SX2804283A.1,SX2804283A.2
L3150961.3,X3150961C.1,X3150961C.2,SX3150961C.1,SX3150961C.2
L2859391.2,X2859391B.1,X2859391B.2,SX2859391B.1,SX2859391B.2
L3254206.2,X3254206B.1,X3254206B.2,SX3254206B.1,SX3254206B.2
L3104122.1,X3104122A.1,X3104122A.2,SX3104122A.1,SX3104122A.2
L3254218.1,X3254218A.1,X3254218A.2,SX3254218A.1,SX3254218A.2
L2804255.2,X2804255B.1,X2804255B.2,SX2804255B.1,SX2804255B.2
L2766748.1,X2766748A.1,X2766748A.2,SX2766748A.1,SX2766748A.2
L2691938.2,X2691938B.1,X2691938B.2,SX2691938B.1,SX2691938B.2
L3027671.1,X3027671A.1,X3027671A.2,SX3027671A.1,SX3027671A.2
L2860501.2,X2860501B.1,X2860501B.2,SX2860501B.1,SX2860501B.2
L2897764.2,X2897764B.1,X2897764B.2,SX2897764B.1,SX2897764B.2
L3068944.2,X3068944B.1,X3068944B.2,SX3068944B.1,SX3068944B.2
L2897781.1,X2897781A.1,X2897781A.2,SX2897781A.1,SX2897781A.2
L2748132.1,X2748132A.1,X2748132A.2,SX2748132A.1,SX2748132A.2
L2766727.2,X2766727B.1,X2766727B.2,SX2766727B.1,SX2766727B.2
L2954339.2,X2954339B.1,X2954339B.2,SX2954339B.1,SX2954339B.2
L2673316.1,X2673316A.1,X2673316A.2,SX2673316A.1,SX2673316A.2
L3649304.1,X3649304A.1,X3649304A.2,SX3649304A.1,SX3649304A.2
L2710508.2,X2710508B.1,X2710508B.2,SX2710508B.1,SX2710508B.2
L2710520.1,X2710520A.1,X2710520A.2,SX2710520A.1,SX2710520A.2
L3010567.3,X3010567C.1,X3010567C.2,SX3010567C.1,SX3010567C.2
L2876798.2,X2876798B.1,X2876798B.2,SX2876798B.1,SX2876798B.2
L3253570.3,X3253570C.1,X3253570C.2,SX3253570C.1,SX3253570C.2
L3216350.1,X3216350A.1,X3216350A.2,SX3216350A.1,SX3216350A.2
L2804257.2,X2804257B.1,X2804257B.2,SX2804257B.1,SX2804257B.2
L3048937.3,X3048937C.1,X3048937C.2,SX3048937C.1,SX3048937C.2
L2748157.1,X2748157A.1,X2748157A.2,SX2748157A.1,SX2748157A.2
L3008237.3,X3008237C.1,X3008237C.2,SX3008237C.1,SX3008237C.2
L3235258.1,X3235258A.1,X3235258A.2,SX3235258A.1,SX3235258A.2
L3235258.2,X3235258B.1,X3235258B.2,SX3235258B.1,SX3235258B.2
L3235258.3,X3235258C.1,X3235258C.2,SX3235258C.1,SX3235258C.2
L2766738.3,X2766738C.1,X2766738C.2,SX2766738C.1,SX2766738C.2
L2691948.2,X2691948B.1,X2691948B.2,SX2691948B.1,SX2691948B.2
L2674052.3,X2674052C.1,X2674052C.2,SX2674052C.1,SX2674052C.2
L3160868.2,X3160868B.1,X3160868B.2,SX3160868B.1,SX3160868B.2
L3048889.3,X3048889C.1,X3048889C.2,SX3048889C.1,SX3048889C.2
L3236004.3,X3236004C.1,X3236004C.2,SX3236004C.1,SX3236004C.2
L3235255.2,X3235255B.1,X3235255B.2,SX3235255B.1,SX3235255B.2
L3067447.1,X3067447A.1,X3067447A.2,SX3067447A.1,SX3067447A.2
L2989432.2,X2989432B.1,X2989432B.2,SX2989432B.1,SX2989432B.2
L2973164.1,X2973164A.1,X2973164A.2,SX2973164A.1,SX2973164A.2
L3010565.3,X3010565C.1,X3010565C.2,SX3010565C.1,SX3010565C.2
L2689678.2,X2689678B.1,X2689678B.2,SX2689678B.1,SX2689678B.2
L2748840.2,X2748840B.1,X2748840B.2,SX2748840B.1,SX2748840B.2
L2989566.2,X2989566B.1,X2989566B.2,SX2989566B.1,SX2989566B.2
L3141388.3,X3141388C.1,X3141388C.2,SX3141388C.1,SX3141388C.2
L2673317.1,X2673317A.1,X2673317A.2,SX2673317A.1,SX2673317A.2
L2822870.3,X2822870C.1,X2822870C.2,SX2822870C.1,SX2822870C.2
L2745799.3,X2745799C.1,X2745799C.2,SX2745799C.1,SX2745799C.2
L2786274.3,X2786274C.1,X2786274C.2,SX2786274C.1,SX2786274C.2
L2897772.1,X2897772A.1,X2897772A.2,SX2897772A.1,SX2897772A.2
L2935566.3,X2935566C.1,X2935566C.2,SX2935566C.1,SX2935566C.2
L3091052.1,X3091052A.1,X3091052A.2,SX3091052A.1,SX3091052A.2
L3010566.3,X3010566C.1,X3010566C.2,SX3010566C.1,SX3010566C.2
L3104131.1,X3104131A.1,X3104131A.2,SX3104131A.1,SX3104131A.2
L3216336.1,X3216336A.1,X3216336A.2,SX3216336A.1,SX3216336A.2
L2858166.1,X2858166A.1,X2858166A.2,SX2858166A.1,SX2858166A.2
L2748128.3,X2748128C.1,X2748128C.2,SX2748128C.1,SX2748128C.2
L2673318.3,X2673318C.1,X2673318C.2,SX2673318C.1,SX2673318C.2
L2973169.1,X2973169A.1,X2973169A.2,SX2973169A.1,SX2973169A.2
L3160106.1,X3160106A.1,X3160106A.2,SX3160106A.1,SX3160106A.2
L2842384.3,X2842384C.1,X2842384C.2,SX2842384C.1,SX2842384C.2
L2767341.3,X2767341C.1,X2767341C.2,SX2767341C.1,SX2767341C.2
L3189188.3,X3189188C.1,X3189188C.2,SX3189188C.1,SX3189188C.2
L2710544.1,X2710544A.1,X2710544A.2,SX2710544A.1,SX2710544A.2
L3160123.1,X3160123A.1,X3160123A.2,SX3160123A.1,SX3160123A.2
L2991927.2,X2991927B.1,X2991927B.2,SX2991927B.1,SX2991927B.2
L3122847.1,X3122847A.1,X3122847A.2,SX3122847A.1,SX3122847A.2
L3008232.2,X3008232B.1,X3008232B.2,SX3008232B.1,SX3008232B.2
L3179607.2,X3179607B.1,X3179607B.2,SX3179607B.1,SX3179607B.2
L2673346.3,X2673346C.1,X2673346C.2,SX2673346C.1,SX2673346C.2
L3104127.2,X3104127B.1,X3104127B.2,SX3104127B.1,SX3104127B.2
L3195321.1,X3195321A.1,X3195321A.2,SX3195321A.1,SX3195321A.2
L2673303.3,X2673303C.1,X2673303C.2,SX2673303C.1,SX2673303C.2
L2895461.1,X2895461A.1,X2895461A.2,SX2895461A.1,SX2895461A.2
L3027116.1,X3027116A.1,X3027116A.2,SX3027116A.1,SX3027116A.2
L2992657.1,X2992657A.1,X2992657A.2,SX2992657A.1,SX2992657A.2
L3104154.3,X3104154C.1,X3104154C.2,SX3104154C.1,SX3104154C.2
L3010580.2,X3010580B.1,X3010580B.2,SX3010580B.1,SX3010580B.2
L3727710.1,X3727710A.1,X3727710A.2,SX3727710A.1,SX3727710A.2
L2692664.3,X2692664C.1,X2692664C.2,SX2692664C.1,SX2692664C.2
L3215385.1,X3215385A.1,X3215385A.2,SX3215385A.1,SX3215385A.2
L3215385.2,X3215385B.1,X3215385B.2,SX3215385B.1,SX3215385B.2
L3215385.3,X3215385C.1,X3215385C.2,SX3215385C.1,SX3215385C.2
L2860493.1,X2860493A.1,X2860493A.2,SX2860493A.1,SX2860493A.2
L3177881.3,X3177881C.1,X3177881C.2,SX3177881C.1,SX3177881C.2
L3727709.1,X3727709A.1,X3727709A.2,SX3727709A.1,SX3727709A.2
L2785528.2,X2785528B.1,X2785528B.2,SX2785528B.1,SX2785528B.2
L2973171.2,X2973171B.1,X2973171B.2,SX2973171B.1,SX2973171B.2
L2785523.3,X2785523C.1,X2785523C.2,SX2785523C.1,SX2785523C.2
L3649300.1,X3649300A.1,X3649300A.2,SX3649300A.1,SX3649300A.2
L2748133.3,X2748133C.1,X2748133C.2,SX2748133C.1,SX2748133C.2
L3233353.1,X3233353A.1,X3233353A.2,SX3233353A.1,SX3233353A.2
L2785547.2,X2785547B.1,X2785547B.2,SX2785547B.1,SX2785547B.2
L2897800.2,X2897800B.1,X2897800B.2,SX2897800B.1,SX2897800B.2
L2991939.2,X2991939B.1,X2991939B.2,SX2991939B.1,SX2991939B.2
L2948732.2,X2948732B.1,X2948732B.2,SX2948732B.1,SX2948732B.2
L0247162.2,X0247162B.1,X0247162B.2,,
L2879065.2,X2879065B.1,X2879065B.2,SX2879065B.1,SX2879065B.2
L3104121.1,X3104121A.1,X3104121A.2,SX3104121A.1,SX3104121A.2
L2763153.1,X2763153A.1,X2763153A.2,SX2763153A.1,SX2763153A.2
L2766724.3,X2766724C.1,X2766724C.2,SX2766724C.1,SX2766724C.2
L2805031.3,X2805031C.1,X2805031C.2,SX2805031C.1,SX2805031C.2
L2805036.2,X2805036B.1,X2805036B.2,SX2805036B.1,SX2805036B.2
L3197625.3,X3197625C.1,X3197625C.2,SX3197625C.1,SX3197625C.2
L3142049.3,X3142049C.1,X3142049C.2,SX3142049C.1,SX3142049C.2
L3342743.3,X3342743C.1,X3342743C.2,SX3342743C.1,SX3342743C.2
L2785524.3,X2785524C.1,X2785524C.2,SX2785524C.1,SX2785524C.2
L2973166.3,X2973166C.1,X2973166C.2,SX2973166C.1,SX2973166C.2
L3225319.2,X3225319B.1,X3225319B.2,SX3225319B.1,SX3225319B.2
L3270814.1,X3270814A.1,X3270814A.2,SX3270814A.1,SX3270814A.2
L3122814.3,X3122814C.1,X3122814C.2,SX3122814C.1,SX3122814C.2
L2897770.3,X2897770C.1,X2897770C.2,SX2897770C.1,SX2897770C.2
L3197634.2,X3197634B.1,X3197634B.2,SX3197634B.1,SX3197634B.2
L3030204.1,X3030204A.1,X3030204A.2,SX3030204A.1,SX3030204A.2
L3102286.2,X3102286B.1,X3102286B.2,SX3102286B.1,SX3102286B.2
L2801909.3,X2801909C.1,X2801909C.2,SX2801909C.1,SX2801909C.2
L3122811.1,X3122811A.1,X3122811A.2,SX3122811A.1,SX3122811A.2
L2822869.1,X2822869A.1,X2822869A.2,SX2822869A.1,SX2822869A.2
L3086098.1,X3086098A.1,X3086098A.2,SX3086098A.1,SX3086098A.2
L3120504.1,X3120504A.1,X3120504A.2,SX3120504A.1,SX3120504A.2
L3727712.1,X3727712A.1,X3727712A.2,SX3727712A.1,SX3727712A.2
L3101789.1,X3101789A.1,X3101789A.2,SX3101789A.1,SX3101789A.2
L3254210.3,X3254210C.1,X3254210C.2,SX3254210C.1,SX3254210C.2
L2730187.1,X2730187A.1,X2730187A.2,SX2730187A.1,SX2730187A.2
L3216367.2,X3216367B.1,X3216367B.2,SX3216367B.1,SX3216367B.2
